No;Province;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Month;Disaster
18; Lampung;4;;;;430;;79;;;;;;;;1;2021;105;3;Tornado
19; Bangka Belitung;2;;;;399;1;82;;;;;;;;;2021;105;3;Tornado
32; Jawa Barat;47;;;8;1739;45;483;;1;4;;;;;;2021;105;3;Tornado
33; Jawa Tengah;23;4;0;7;372;5;215;0;0;1;0;0;0;0;0;2021;105;3;Tornado
34; Yogyakarta;1;;;;990;;;;;;;;;;;2021;105;3;Tornado
35; Jawa Timur;17;0;0;8;281;0;126;0;0;0;0;1;0;0;0;2021;105;3;Tornado
52; Nusa Tenggara Barat;1;;;1;250;;50;;;;;;;;;2021;105;3;Tornado
61; Kalimantan Barat;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;3;Tornado
63; Kalimantan Selatan;6;;;;161;;43;;;;;;;;2;2021;105;3;Tornado
73; Sulawesi Selatan;6;;;4;566;;186;2;1;;;2;;;;2021;105;3;Tornado
74; Sulawesi Tenggara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;3;Tornado
81; Maluku;1;;;;75;;15;1;;;;;;;;2021;105;3;Tornado
11; Aceh;8;;;;;;;;;;;;;;;2021;107;3;Forest Fire
12; Sumatera Utara;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;3;Forest Fire
14; Riau;6;;;;;;;;;;;;;;;2021;107;3;Forest Fire
19; Bangka Belitung;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;3;Forest Fire
33; Jawa Tengah;2;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2021;107;3;Forest Fire
61; Kalimantan Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;3;Forest Fire
62; Kalimantan Tengah;4;;;;;;;;;;;;;;;2021;107;3;Forest Fire
63; Kalimantan Selatan;1;;;;;;;;;;;;;;;2021;107;3;Forest Fire
64; Kalimantan Timur;1;;;;;;;;;;;;;;;2021;107;3;Forest Fire
65; Kalimantan Utara;1;;;;;;;;;;;;;;;2021;107;3;Forest Fire
13; Sumatera Barat;1;;;;500;;;;1;;;;;;;2021;108;3;Earthquake
33; Jawa Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;108;3;Earthquake
72; Sulawesi Tengah;1;;;;;;;;;;;;;;;2021;108;3;Earthquake
73; Sulawesi Selatan;1;;;;;;;;;;;;;;;2021;108;3;Earthquake
81; Maluku;1;;;;;;;;;;;;;;;2021;108;3;Earthquake
12; Sumatera Utara;1;;;;;;;;;;;;;;;2021;111;3;Volcano Eruption
11; Aceh;4;;;;1762;15;3;;;;;;;;;2021;101;4;Flood
12; Sumatera Utara;8;0;0;0;0;35;107;1;0;0;1;0;0;0;0;2021;101;4;Flood
13; Sumatera Barat;1;;;;;;;;;;;;;;;2021;101;4;Flood
14; Riau;7;;;;4166;200;;;;;;;;;;2021;101;4;Flood
18; Lampung;1;0;0;0;904;0;0;0;0;0;0;0;0;0;0;2021;101;4;Flood
19; Bangka Belitung;11;0;0;0;0;0;93;0;0;0;0;0;0;0;0;2021;101;4;Flood
32; Jawa Barat;12;;;;1861;202;48;;;;;;;;;2021;101;4;Flood
33; Jawa Tengah;15;40;0;0;2125;4;213;0;0;0;0;1;1;0;0;2021;101;4;Flood
35; Jawa Timur;10;;;;17160;480;1;;;;;;;;;2021;101;4;Flood
36; Banten;3;1;;;265;;;;;;;;;;;2021;101;4;Flood
52; Nusa Tenggara Barat;5;2;;;32991;1880;5698;49;29;25;;30;15;;;2021;101;4;Flood
53; Nusa Tenggara Timur;18;182;47;217;557941;61092;53797;229;98;239;0;92;131;0;15;2021;101;4;Flood
61; Kalimantan Barat;1;;;;640;;;;;;;;;;;2021;101;4;Flood
62; Kalimantan Tengah;1;;;;816;;;;;;;;;;;2021;101;4;Flood
63; Kalimantan Selatan;1;;;;5388;;;;;;;;;;;2021;101;4;Flood
64; Kalimantan Timur;1;;;;25;;;;;;;;;;;2021;101;4;Flood
73; Sulawesi Selatan;1;;;;265;;;;;;;;;;;2021;101;4;Flood
81; Maluku;1;;;;69;;;;;;;;;;;2021;101;4;Flood
94; Papua;1;;;;65;;;;;;;;;;;2021;101;4;Flood
12; Sumatera Utara;5;5;8;0;0;0;2;0;1;0;0;0;1;1;0;2021;102;4;Land_Slide
32; Jawa Barat;24;1;0;5;495;151;63;1;0;0;0;0;0;0;1;2021;102;4;Land_Slide
33; Jawa Tengah;11;0;0;0;25;0;2;0;0;0;0;0;1;0;1;2021;102;4;Land_Slide
35; Jawa Timur;3;1;;;10;;3;;;;;;;;;2021;102;4;Land_Slide
36; Banten;1;;;;2;;1;;;;;;;;;2021;102;4;Land_Slide
72; Sulawesi Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;4;Land_Slide
33; Jawa Tengah;1;;;;;;2;;;;;;2;;;2021;103;4;Flood and Land Slide
53; Nusa Tenggara Timur;2;;;;11183;1464;569;1;;2;;;11;;;2021;103;4;Flood and Land Slide
14; Riau;1;;;;36;;10;;;;;;;;;2021;104;4;Abration
53; Nusa Tenggara Timur;2;1;;5;991;;;;;;;;;;;2021;104;4;Abration
62; Kalimantan Tengah;1;;;;31;;8;;;;;;;;;2021;104;4;Abration
11; Aceh;6;;;;160;;33;;;;;;;;2;2021;105;4;Tornado
12; Sumatera Utara;17;0;0;0;1167;0;351;0;0;1;0;0;0;0;0;2021;105;4;Tornado
13; Sumatera Barat;8;;;1;430;;215;2;;1;;1;;;;2021;105;4;Tornado
14; Riau;2;1;;2;95;;2;;;;;;;;;2021;105;4;Tornado
15; Jambi;1;;;;4;;1;;;;;;;;;2021;105;4;Tornado
16; Sumatera Selatan;4;;;;3124;;652;1;;;;;;;;2021;105;4;Tornado
18; Lampung;13;0;0;0;2823;0;576;1;0;0;0;0;0;0;0;2021;105;4;Tornado
19; Bangka Belitung;31;0;0;3;6;15;40;0;0;0;0;0;0;0;0;2021;105;4;Tornado
32; Jawa Barat;35;;;;418;18;111;3;;;;;;;;2021;105;4;Tornado
33; Jawa Tengah;9;0;0;0;511;6;132;0;0;1;0;0;0;0;0;2021;105;4;Tornado
34; Yogyakarta;1;;;1;10;;;;;;;;;;;2021;105;4;Tornado
35; Jawa Timur;13;0;0;3;237;0;135;1;1;3;0;0;0;0;1;2021;105;4;Tornado
36; Banten;1;;;;5;;1;;;;;;;;;2021;105;4;Tornado
53; Nusa Tenggara Timur;2;;;4;1332;625;1986;14;1;11;;8;6;;1;2021;105;4;Tornado
61; Kalimantan Barat;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;105;4;Tornado
64; Kalimantan Timur;2;;;;;;8;;;;;;;;;2021;105;4;Tornado
71; Sulawesi Utara;2;;;;7;;6;;;1;;3;;;2;2021;105;4;Tornado
72; Sulawesi Tengah;2;2;0;0;10;0;0;0;1;1;0;0;0;0;0;2021;105;4;Tornado
73; Sulawesi Selatan;13;;;;;;0;0;;;;;;;;2021;105;4;Tornado
74; Sulawesi Tenggara;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;105;4;Tornado
76; Sulawesi Barat;1;;;;2;;2;;;;;;;;;2021;105;4;Tornado
81; Maluku;1;;;;45;5;;;;;;;;;;2021;105;4;Tornado
82; Maluku Utara;1;;;;35;;7;;;;;;;;;2021;105;4;Tornado
12; Sumatera Utara;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;4;Forest Fire
14; Riau;2;;;;;;;;;;;;;;;2021;107;4;Forest Fire
16; Sumatera Selatan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;4;Forest Fire
33; Jawa Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2021;107;4;Forest Fire
61; Kalimantan Barat;2;;;;;;;;;;;;;;;2021;107;4;Forest Fire
62; Kalimantan Tengah;3;;;;;;;;;;;;;;;2021;107;4;Forest Fire
63; Kalimantan Selatan;1;;;;;;;;;;;;;;;2021;107;4;Forest Fire
32; Jawa Barat;2;;;;;;13;;;;;;;;;2021;108;4;Earthquake
35; Jawa Timur;18;10;;115;;2074;16528;197;29;255;;64;;;4;2021;108;4;Earthquake
11; Aceh;9;;;;6969;;2;;;;;;;;;2021;101;5;Flood
12; Sumatera Utara;6;0;0;0;2525;0;342;0;0;0;0;0;1;1;0;2021;101;5;Flood
13; Sumatera Barat;4;;;;4297;;6;;;;;;;;;2021;101;5;Flood
14; Riau;4;;;;3649;400;;;;;;;;;;2021;101;5;Flood
16; Sumatera Selatan;4;0;0;0;3490;50;2;0;0;0;0;0;0;0;0;2021;101;5;Flood
17; Bengkulu;1;;;;2250;;;;;;;;;;;2021;101;5;Flood
19; Bangka Belitung;3;0;0;0;1;28;0;0;0;0;0;0;0;0;0;2021;101;5;Flood
31; Jakarta;4;;;;1056;;;;;;;;;;;2021;101;5;Flood
32; Jawa Barat;12;;;;87929;510;140;;;1;;;;;;2021;101;5;Flood
33; Jawa Tengah;9;0;0;0;11198;0;0;0;0;0;0;0;0;0;0;2021;101;5;Flood
35; Jawa Timur;2;0;0;0;50;0;0;0;0;0;0;0;0;0;0;2021;101;5;Flood
36; Banten;2;;;1;7670;59;;;;;;;;;;2021;101;5;Flood
52; Nusa Tenggara Barat;4;;;;1533;30;11;;;;;;1;;;2021;101;5;Flood
61; Kalimantan Barat;4;0;0;0;4118;0;0;0;0;0;0;0;0;0;0;2021;101;5;Flood
62; Kalimantan Tengah;7;;;;39446;;;1;;1;;1;;;;2021;101;5;Flood
63; Kalimantan Selatan;4;;;;16927;360;;;;;;;;;;2021;101;5;Flood
64; Kalimantan Timur;2;;;;15080;15;;;;;;;;;;2021;101;5;Flood
65; Kalimantan Utara;4;;;;23864;;3;;;;;;;;;2021;101;5;Flood
72; Sulawesi Tengah;3;0;0;0;0;30;0;0;0;0;0;0;0;0;0;2021;101;5;Flood
73; Sulawesi Selatan;4;;;;13513;;;;;;;;1;;;2021;101;5;Flood
81; Maluku;2;;;;14312;;;;;;;;;;;2021;101;5;Flood
82; Maluku Utara;1;;;;396;;;;;;;;;;;2021;101;5;Flood
12; Sumatera Utara;12;0;0;0;0;0;12;0;1;1;0;0;0;0;0;2021;102;5;Land_Slide
13; Sumatera Barat;2;8;;9;;;1;;;;;;;;;2021;102;5;Land_Slide
16; Sumatera Selatan;1;;;;5;;;;;;;;;;;2021;102;5;Land_Slide
32; Jawa Barat;28;1;;2;136;30;24;4;;;;;;;;2021;102;5;Land_Slide
33; Jawa Tengah;3;0;0;0;29;79;11;0;0;0;0;0;0;0;0;2021;102;5;Land_Slide
35; Jawa Timur;2;;;2;;;2;;;;;;;;;2021;102;5;Land_Slide
36; Banten;1;;;;12;;3;;;;;;;;;2021;102;5;Land_Slide
53; Nusa Tenggara Timur;1;;;;;38;;;;;;;;;;2021;102;5;Land_Slide
61; Kalimantan Barat;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;102;5;Land_Slide
64; Kalimantan Timur;1;;;;;;1;;;;;;;;;2021;102;5;Land_Slide
73; Sulawesi Selatan;2;;;;25;;5;;;;;;;;;2021;102;5;Land_Slide
81; Maluku;1;;;1;;;;;;;;;;;;2021;102;5;Land_Slide
11; Aceh;3;;;;9570;;;;;;;;;;;2021;103;5;Flood and Land Slide
12; Sumatera Utara;1;;;;270;;1;;;;;;;;;2021;103;5;Flood and Land Slide
16; Sumatera Selatan;1;;;;;;;;;;;;;;;2021;103;5;Flood and Land Slide
32; Jawa Barat;2;;;;773;;1;;;;;;;;;2021;103;5;Flood and Land Slide
61; Kalimantan Barat;1;;;;350;;;;;;;;;;;2021;103;5;Flood and Land Slide
12; Sumatera Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;5;Abration
33; Jawa Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;5;Abration
35; Jawa Timur;19;0;0;0;7;0;3;0;0;0;0;0;0;0;0;2021;104;5;Abration
51; Bali;1;;;;115;;16;;;;;;;;;2021;104;5;Abration
62; Kalimantan Tengah;1;;;;;;;;;;;;;;;2021;104;5;Abration
74; Sulawesi Tenggara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;5;Abration
11; Aceh;2;;;;2;;4;;;;;;;;4;2021;105;5;Tornado
12; Sumatera Utara;3;0;0;1;322;0;76;0;0;1;0;0;0;0;0;2021;105;5;Tornado
14; Riau;1;;;;;20;25;;;;;;;;;2021;105;5;Tornado
16; Sumatera Selatan;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;2021;105;5;Tornado
18; Lampung;2;;;;20;;4;;;;;;;;;2021;105;5;Tornado
19; Bangka Belitung;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;5;Tornado
32; Jawa Barat;16;;;;77;5;19;;;;;;;;1;2021;105;5;Tornado
33; Jawa Tengah;15;0;0;0;197;0;51;0;0;0;0;0;0;0;0;2021;105;5;Tornado
35; Jawa Timur;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;5;Tornado
36; Banten;2;;;;5;;3;;;;;;;;;2021;105;5;Tornado
63; Kalimantan Selatan;2;;;;35;;16;;;1;;;;;;2021;105;5;Tornado
71; Sulawesi Utara;1;;;;125;;1;;;;;;;;;2021;105;5;Tornado
72; Sulawesi Tengah;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2021;105;5;Tornado
73; Sulawesi Selatan;1;;;;20;;4;;;;;;;;;2021;105;5;Tornado
81; Maluku;2;;;;93;;16;;;;;;;;;2021;105;5;Tornado
94; Papua;1;;;10;140;150;28;;;;;;;;;2021;105;5;Tornado
33; Jawa Tengah;1;;;;450;;;;;;;;;;;2021;106;5;Drought
33; Jawa Tengah;7;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2021;107;5;Forest Fire
36; Banten;2;;;;;;;;;;;;;;;2021;107;5;Forest Fire
61; Kalimantan Barat;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;5;Forest Fire
62; Kalimantan Tengah;2;;;;;;;;;;;;;;;2021;107;5;Forest Fire
35; Jawa Timur;8;;;2;;;1408;;1;;;;;;;2021;108;5;Earthquake
11; Aceh;1;;;;27;;;;;;;;;;;2021;101;6;Flood
13; Sumatera Barat;2;;;;604;;2;;;;;;;;7;2021;101;6;Flood
14; Riau;1;;;;;;;;;;;;;;;2021;101;6;Flood
17; Bengkulu;1;;;;125;;;;;;;;;;;2021;101;6;Flood
19; Bangka Belitung;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2021;101;6;Flood
21; Kepulauan Riau;1;;;;30;;;;;;;;;;;2021;101;6;Flood
31; Jakarta;1;;;;148;;;;;;;;;;;2021;101;6;Flood
32; Jawa Barat;11;;;6;61826;108;95;;;;;;;;;2021;101;6;Flood
33; Jawa Tengah;4;1;0;0;251;0;0;0;0;0;0;0;0;0;0;2021;101;6;Flood
35; Jawa Timur;6;0;0;0;11879;0;3;0;0;0;0;0;0;0;0;2021;101;6;Flood
51; Bali;1;;;;15;;3;;;;;;;;;2021;101;6;Flood
61; Kalimantan Barat;1;;;;1355;;;;;;;;;;;2021;101;6;Flood
72; Sulawesi Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;6;Flood
73; Sulawesi Selatan;1;;;;276;7;54;;;;;;;;;2021;101;6;Flood
74; Sulawesi Tenggara;5;;;;620;;;;;;;;3;;;2021;101;6;Flood
75; Gorontalo;1;;;;23;;;;;;;;;;;2021;101;6;Flood
11; Aceh;1;;;;5;;1;;;;;;;;;2021;102;6;Land_Slide
12; Sumatera Utara;11;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;6;Land_Slide
14; Riau;2;;;;20;;4;;;1;;;;;1;2021;102;6;Land_Slide
32; Jawa Barat;37;;;8;321;328;69;;;;;;;;4;2021;102;6;Land_Slide
33; Jawa Tengah;11;0;0;0;20;0;9;0;0;0;0;0;0;0;0;2021;102;6;Land_Slide
35; Jawa Timur;4;1;;6;625;5;30;;;;;;1;;;2021;102;6;Land_Slide
51; Bali;1;;;;4;;;;;;;;;;;2021;102;6;Land_Slide
63; Kalimantan Selatan;1;;;;3;;1;;;;;;;;;2021;102;6;Land_Slide
74; Sulawesi Tenggara;2;0;0;0;11;0;2;0;0;0;0;0;0;0;0;2021;102;6;Land_Slide
81; Maluku;1;;;2;3;;1;;;;;;;;;2021;102;6;Land_Slide
36; Banten;1;;;2;968;90;3;;;;;;;;;2021;103;6;Flood and Land Slide
51; Bali;1;;;;15;;3;;;;;;;;;2021;104;6;Abration
11; Aceh;4;;;;54;;12;;;;;;;;;2021;105;6;Tornado
12; Sumatera Utara;3;1;0;7;1649;0;356;0;0;0;3;0;0;0;0;2021;105;6;Tornado
13; Sumatera Barat;4;;;;18;;4;;;;;;;;;2021;105;6;Tornado
15; Jambi;1;;;;13;;5;;;;;;;;;2021;105;6;Tornado
16; Sumatera Selatan;3;;;;17;;15;;;;;;;;;2021;105;6;Tornado
18; Lampung;1;;;;;;9;;;;;;;;;2021;105;6;Tornado
19; Bangka Belitung;1;;;;260;;;;;;;;;;;2021;105;6;Tornado
32; Jawa Barat;26;;;;173;7;54;;;1;;;;;;2021;105;6;Tornado
33; Jawa Tengah;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2021;105;6;Tornado
35; Jawa Timur;2;;;;330;;76;;;;;;;;;2021;105;6;Tornado
36; Banten;5;;;;398;;64;;;;;;;;;2021;105;6;Tornado
63; Kalimantan Selatan;1;;;;150;;30;;;;;;;;;2021;105;6;Tornado
71; Sulawesi Utara;1;;;1;;25;49;;;;;;;;;2021;105;6;Tornado
72; Sulawesi Tengah;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2021;105;6;Tornado
73; Sulawesi Selatan;2;;;;100;;20;;;1;;;;;;2021;105;6;Tornado
74; Sulawesi Tenggara;1;;;2;45;;3;;;;;;;;;2021;105;6;Tornado
11; Aceh;2;;;;;;;;;;;;;;;2021;107;6;Forest Fire
12; Sumatera Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;6;Forest Fire
14; Riau;3;;;;;;;;;;;;;;;2021;107;6;Forest Fire
16; Sumatera Selatan;1;;;;;;;;;;;;;;;2021;107;6;Forest Fire
19; Bangka Belitung;1;;;;;;;;;;;;;;;2021;107;6;Forest Fire
33; Jawa Tengah;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;107;6;Forest Fire
62; Kalimantan Tengah;1;;;;;;;;;;;;;;;2021;107;6;Forest Fire
63; Kalimantan Selatan;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;6;Forest Fire
64; Kalimantan Timur;2;;;;;;;;;;;;;;;2021;107;6;Forest Fire
34; Yogyakarta;2;;;;;;17;;;;;;;;;2021;108;6;Earthquake
81; Maluku;4;;;;;8803;233;;;3;;;;;;2021;108;6;Earthquake
12; Sumatera Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;111;6;Volcano Eruption
11; Aceh;9;;;;37840;438;4;1;;;;;3;;;2021;101;7;Flood
12; Sumatera Utara;2;0;0;0;14615;0;26;0;0;0;0;0;0;0;0;2021;101;7;Flood
17; Bengkulu;1;;;;603;;;;;;;;1;;;2021;101;7;Flood
19; Bangka Belitung;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;7;Flood
32; Jawa Barat;2;;;;26;;;;;;;;;;;2021;101;7;Flood
33; Jawa Tengah;2;0;0;0;1159;80;0;0;0;0;0;0;0;0;0;2021;101;7;Flood
61; Kalimantan Barat;6;;;;86828;4657;10;;;;;;2;;;2021;101;7;Flood
62; Kalimantan Tengah;5;;;;2471;;5;;;;;;;;;2021;101;7;Flood
63; Kalimantan Selatan;1;;;;20;;;;;;;;;;;2021;101;7;Flood
64; Kalimantan Timur;1;;;;968;35;;;;;;;;;;2021;101;7;Flood
71; Sulawesi Utara;1;;;;425;;;;;;;;;;;2021;101;7;Flood
72; Sulawesi Tengah;7;0;0;0;1843;0;65;0;0;2;0;0;4;0;0;2021;101;7;Flood
73; Sulawesi Selatan;4;;;;9140;;;;;;;;;;;2021;101;7;Flood
74; Sulawesi Tenggara;4;0;0;0;1185;15;15;1;0;0;0;0;1;0;0;2021;101;7;Flood
75; Gorontalo;1;;;;2355;185;;;;;;;2;;;2021;101;7;Flood
81; Maluku;1;;;;50;;;;;;;;;;;2021;101;7;Flood
94; Papua;1;;;;;151;;;;;;;;;;2021;101;7;Flood
12; Sumatera Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;7;Land_Slide
14; Riau;1;;;;10;;2;;;;;;;;;2021;102;7;Land_Slide
32; Jawa Barat;7;;;;107;;6;;;;;;;;;2021;102;7;Land_Slide
33; Jawa Tengah;1;1;;;;;;;;;;;;;;2021;102;7;Land_Slide
62; Kalimantan Tengah;1;;;;5;;1;;;;;;;;;2021;102;7;Land_Slide
63; Kalimantan Selatan;1;;;;15;;6;;;;;;;;;2021;102;7;Land_Slide
64; Kalimantan Timur;1;;;;40;;5;;;;;;;;;2021;102;7;Land_Slide
74; Sulawesi Tenggara;2;;;;11;;2;;;;;;;;;2021;102;7;Land_Slide
75; Gorontalo;1;;;1;13;;2;;;;;;;;;2021;102;7;Land_Slide
17; Bengkulu;1;;;;85;;;;;;;;1;;;2021;103;7;Flood and Land Slide
61; Kalimantan Barat;2;1;1;2;26152;;1;;;;;;8;;;2021;103;7;Flood and Land Slide
71; Sulawesi Utara;1;;;;6251;;6;;;;;;;;;2021;103;7;Flood and Land Slide
73; Sulawesi Selatan;4;;;;11432;36;112;;;;;;5;;;2021;103;7;Flood and Land Slide
74; Sulawesi Tenggara;1;;;;2547;111;4;;1;;;;;;;2021;103;7;Flood and Land Slide
81; Maluku;3;;;;1468;;161;;;;;;2;;;2021;103;7;Flood and Land Slide
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;7;Abration
11; Aceh;6;;;;64;9;144;;;;;;;;;2021;105;7;Tornado
12; Sumatera Utara;7;0;0;0;1301;0;223;0;0;0;1;0;0;0;0;2021;105;7;Tornado
13; Sumatera Barat;2;;;;49;;13;;;;;;;;2;2021;105;7;Tornado
14; Riau;1;;;;225;;;;;;;;;;;2021;105;7;Tornado
16; Sumatera Selatan;2;0;0;0;0;0;24;0;0;2;0;0;0;0;0;2021;105;7;Tornado
17; Bengkulu;1;2;;;;;1;;;;;;;;;2021;105;7;Tornado
21; Kepulauan Riau;1;;;1;90;;18;;;;;1;;;;2021;105;7;Tornado
32; Jawa Barat;5;;;;58;;14;1;;;;;;;;2021;105;7;Tornado
33; Jawa Tengah;1;;;;5;;1;;;;;;;;;2021;105;7;Tornado
35; Jawa Timur;2;0;0;0;110;0;35;0;0;2;0;0;0;0;0;2021;105;7;Tornado
61; Kalimantan Barat;2;0;0;0;25;5;12;0;0;0;0;0;0;0;0;2021;105;7;Tornado
73; Sulawesi Selatan;2;;;;;4;16;;;;;;;;;2021;105;7;Tornado
32; Jawa Barat;1;;;;830;;;;;;;;;;;2021;106;7;Drought
11; Aceh;10;;;;;;;;;;;;;;;2021;107;7;Forest Fire
12; Sumatera Utara;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;7;Forest Fire
14; Riau;4;;;;;;;;;;;;;;;2021;107;7;Forest Fire
16; Sumatera Selatan;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;7;Forest Fire
19; Bangka Belitung;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;7;Forest Fire
36; Banten;1;;;;;;;;;;;;;;;2021;107;7;Forest Fire
53; Nusa Tenggara Timur;1;;;;;;;;;;;;;;;2021;107;7;Forest Fire
61; Kalimantan Barat;2;;;;;;;;;;;;;;;2021;107;7;Forest Fire
62; Kalimantan Tengah;7;;;;;;;;;;;;;;;2021;107;7;Forest Fire
63; Kalimantan Selatan;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;7;Forest Fire
64; Kalimantan Timur;2;;;;;;;;;;;;;;;2021;107;7;Forest Fire
65; Kalimantan Utara;2;;;;;;;;;;;;;;;2021;107;7;Forest Fire
72; Sulawesi Tengah;2;;;;;;11;1;;3;;;;;;2021;108;7;Earthquake
12; Sumatera Utara;6;0;0;6;28100;430;3327;7;2;2;6;3;1;0;0;2021;101;8;Flood
18; Lampung;2;0;0;0;180;0;20;0;0;0;0;0;1;0;0;2021;101;8;Flood
32; Jawa Barat;3;;;;266;;1;;;;;;;;;2021;101;8;Flood
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;8;Flood
36; Banten;1;;;;115;20;;;;;;;;;;2021;101;8;Flood
61; Kalimantan Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;8;Flood
72; Sulawesi Tengah;12;0;0;0;0;6;73;0;0;0;0;0;1;0;0;2021;101;8;Flood
32; Jawa Barat;3;0;0;0;7;0;0;0;0;0;0;0;0;0;0;2021;102;8;Land_Slide
61; Kalimantan Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;8;Land_Slide
72; Sulawesi Tengah;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;8;Land_Slide
33; Jawa Tengah;1;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2021;104;8;Abration
11; Aceh;2;;;;9;;2;;;;;;;;;2021;105;8;Tornado
12; Sumatera Utara;4;0;0;0;104;0;52;0;0;0;0;0;0;0;0;2021;105;8;Tornado
18; Lampung;1;0;0;0;6;0;1;0;0;0;0;0;0;0;0;2021;105;8;Tornado
33; Jawa Tengah;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;2021;105;8;Tornado
35; Jawa Timur;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;105;8;Tornado
72; Sulawesi Tengah;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2021;105;8;Tornado
33; Jawa Tengah;2;0;0;0;2843;0;0;0;0;0;0;0;0;0;0;2021;106;8;Drought
11; Aceh;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;8;Forest Fire
12; Sumatera Utara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;8;Forest Fire
19; Bangka Belitung;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;8;Forest Fire
33; Jawa Tengah;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;2021;107;8;Forest Fire
61; Kalimantan Barat;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;8;Forest Fire
63; Kalimantan Selatan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;8;Forest Fire
12; Sumatera Utara;8;0;0;5;1329;375;1203;0;0;0;0;0;0;0;0;2021;101;9;Flood
15; Jambi;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;9;Flood
18; Lampung;1;0;0;0;0;0;259;0;0;0;0;0;0;0;0;2021;101;9;Flood
19; Bangka Belitung;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;9;Flood
33; Jawa Tengah;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;9;Flood
53; Nusa Tenggara Timur;2;2;1;1;0;0;5;0;0;0;14;0;1;0;0;2021;101;9;Flood
61; Kalimantan Barat;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;9;Flood
72; Sulawesi Tengah;13;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2021;101;9;Flood
