No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
17; Rembang;2;;;;;;13;;;;;;;;;2020;105;Tornado
18; Pati;10;;;4;475;;266;;;;;;;;2;2020;105;Tornado
19; Kudus;3;;;;50;;12;;;;;;;;8;2020;105;Tornado
20; Jepara;25;1;0;5;37;3;67;1;0;0;0;0;0;0;1;2020;105;Tornado
21; Demak;6;;;1;;;333;2;;2;;;;;;2020;105;Tornado
22; Semarang;6;;;1;;5;6;2;;;;;;;2;2020;105;Tornado
23; Temanggung;11;;;;;8;51;;1;1;;;;;;2020;105;Tornado
24; Kendal;13;;;4;50;;100;2;;;;;;;1;2020;105;Tornado
25; Batang;3;;;;;;2;;;1;;;;;5;2020;105;Tornado
26; Pekalongan;1;;;;;;3;;;;;;;;;2020;105;Tornado
27; Pemalang;14;;;;;;46;;;;;;1;;;2020;105;Tornado
28; Tegal;4;;;2;;;67;;;;;;;;;2020;105;Tornado
29; Brebes;9;;;2;;10;25;1;;;;;;;;2020;105;Tornado
72; Kota Surakarta;2;;;1;;;1;1;;;;;;;;2020;105;Tornado
74; Kota Semarang;32;1;;7;61;;73;2;;;;;;;;2020;105;Tornado
75; Kota Pekalongan;1;;;;;;1;;;;;;;;;2020;105;Tornado
1; Cilacap;1;;;;850;;;;;;;;;;;2020;106;Drought
9; Boyolali;1;;;;;;;;;;;;;;;2020;106;Drought
14; Sragen;1;;;;7497;;;;;;;;;;;2020;106;Drought
15; Grobogan;1;0;0;0;18859;0;0;0;0;0;0;0;0;0;0;2020;106;Drought
16; Blora;1;;;;;;;;;;;;;;;2020;106;Drought
17; Rembang;1;;;;;;;;;;;;;;;2020;106;Drought
18; Pati;1;;;;15367;;;;;;;;;;;2020;106;Drought
6; Purworejo;1;;;;;;;;;;;;;;;2020;107;Forest Fire
9; Boyolali;2;;;;;;;;;;;;;;;2020;107;Forest Fire
12; Wonogiri;1;;;;;;;;;;;;;;;2020;107;Forest Fire
15; Grobogan;1;;;;;;;;;;;;;;;2020;107;Forest Fire
16; Blora;1;;;;;;;;;;;;;;;2020;107;Forest Fire
18; Pati;1;;;;;;;;;;;;;;;2020;107;Forest Fire
19; Kudus;1;;;;;;;;;;;;;;;2020;107;Forest Fire
24; Kendal;1;;;;;;;;;;;;;;;2020;107;Forest Fire
25; Batang;1;;;;;;;;;;;;;;;2020;107;Forest Fire
26; Pekalongan;1;;;;;;;;;;;;;;;2020;107;Forest Fire
27; Pemalang;3;;;;;;;;;;;;;;;2020;107;Forest Fire
28; Tegal;1;;;;;;;;;;;;;;;2020;107;Forest Fire
76; Kota Tegal;4;;;;;;;;;;;;;;;2020;107;Forest Fire
20; Jepara;1;;;;;;1;;;;;;;;;2020;108;Earthquake
8; Magelang;2;;;;;344;;;;;;;;;;2020;111;Volcano Eruption
9; Boyolali;2;;;;;288;;;;;;;;;;2020;111;Volcano Eruption
10; Klaten;2;;;1;;279;;;;;;;;;;2020;111;Volcano Eruption
11; Sukoharjo;1;;;;;;;;;;;;;;;2020;111;Volcano Eruption
72; Kota Surakarta;1;;;;;;;;;;;;;;;2020;111;Volcano Eruption
1; Cilacap;22;50;0;0;5799;397;0;0;0;0;0;0;0;0;0;2021;101;Flood
2; Banyumas;11;0;0;1;343;0;8;0;0;0;4;0;0;0;0;2021;101;Flood
6; Purworejo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
7; Wonosobo;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;101;Flood
9; Boyolali;5;0;0;0;100;0;0;0;0;0;0;0;1;0;0;2021;101;Flood
12; Wonogiri;4;40;0;0;25;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
14; Sragen;6;1;0;0;1811;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
15; Grobogan;40;0;0;0;17195;0;1401;6;0;14;0;4;5;0;0;2021;101;Flood
16; Blora;5;0;0;0;7735;0;5;0;0;0;0;0;1;0;0;2021;101;Flood
17; Rembang;9;0;0;0;860;8;0;0;0;0;0;0;-1;0;0;2021;101;Flood
18; Pati;12;0;0;0;37189;444;0;0;0;0;0;0;150;0;0;2021;101;Flood
19; Kudus;5;;;;47559;912;;;;;;;;;;2021;101;Flood
20; Jepara;17;0;0;0;2360;0;3;0;0;0;0;0;0;0;0;2021;101;Flood
21; Demak;5;;;;76900;302;;;;;;;;;;2021;101;Flood
22; Semarang;3;0;0;0;90590;8;9;0;0;0;0;0;0;0;0;2021;101;Flood
24; Kendal;6;0;0;0;17600;632;0;0;0;0;0;0;0;0;0;2021;101;Flood
25; Batang;1;;;;70;;;;;;;;;;;2021;101;Flood
26; Pekalongan;4;0;0;0;336476;3600;0;0;0;0;0;0;0;0;0;2021;101;Flood
27; Pemalang;16;0;0;0;0;0;464;0;0;0;1;0;0;0;0;2021;101;Flood
28; Tegal;4;;;;275;;;;;;;;;;;2021;101;Flood
29; Brebes;45;0;0;1;13135;2411;10;0;0;0;1;0;2;0;2;2021;101;Flood
72; Kota Surakarta;10;0;0;0;366;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
74; Kota Semarang;39;0;0;0;11583;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
75; Kota Pekalongan;2;;;;352866;2997;;;;;;;;;;2021;101;Flood
76; Kota Tegal;3;0;0;0;450;0;0;0;0;0;0;0;0;0;0;2021;101;Flood
1; Cilacap;45;0;0;0;55;97;53;1;0;0;1;0;3;0;0;2021;102;Land_Slide
2; Banyumas;92;1;0;1;137;29;46;1;0;1;34;0;0;0;0;2021;102;Land_Slide
4; Banjarnegara;4;4;0;1;0;10;3;0;0;0;1;0;0;0;0;2021;102;Land_Slide
5; Kebumen;2;2;0;12;30;50;11;1;0;0;0;0;1;0;0;2021;102;Land_Slide
6; Purworejo;5;0;0;0;11;2;5;0;0;0;0;0;0;0;0;2021;102;Land_Slide
7; Wonosobo;50;1;0;2;3;74;47;0;0;0;4;0;0;1;2;2021;102;Land_Slide
8; Magelang;8;1;0;8;97;6;21;0;0;0;0;0;0;0;0;2021;102;Land_Slide
9; Boyolali;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;102;Land_Slide
10; Klaten;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;102;Land_Slide
12; Wonogiri;2;;;;5;;1;;;;;;;;;2021;102;Land_Slide
13; Karanganyar;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;102;Land_Slide
14; Sragen;4;0;0;0;15;10;1;0;0;0;0;0;0;0;0;2021;102;Land_Slide
15; Grobogan;18;4;0;6;0;0;9;0;0;0;0;0;6;0;0;2021;102;Land_Slide
16; Blora;1;;;;;;1;;;;;;;;;2021;102;Land_Slide
17; Rembang;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2021;102;Land_Slide
20; Jepara;25;0;0;1;0;0;20;0;0;0;0;0;0;0;0;2021;102;Land_Slide
22; Semarang;3;0;0;1;61;0;1;0;0;0;0;0;0;0;0;2021;102;Land_Slide
23; Temanggung;3;1;0;0;10;0;1;0;0;0;0;0;0;0;1;2021;102;Land_Slide
24; Kendal;16;0;0;1;20;0;15;1;0;0;0;0;0;0;0;2021;102;Land_Slide
25; Batang;2;0;0;0;0;3;1;0;0;0;0;0;1;0;0;2021;102;Land_Slide
26; Pekalongan;10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2021;102;Land_Slide
27; Pemalang;41;0;0;0;0;0;78;0;0;3;2;0;0;0;0;2021;102;Land_Slide
28; Tegal;1;;;;;5;;;;;;;;;;2021;102;Land_Slide
29; Brebes;85;0;0;0;5;36;95;0;0;1;2;0;4;0;1;2021;102;Land_Slide
74; Kota Semarang;127;0;0;0;28;0;7;0;0;0;0;0;0;0;0;2021;102;Land_Slide
5; Kebumen;1;3;;;540;90;6;;;;;;;;;2021;103;Flood and Land Slide
12; Wonogiri;2;;;;32;;2;;;;;;2;;;2021;103;Flood and Land Slide
24; Kendal;2;1;;1;13245;;8;1;;;;;;;;2021;103;Flood and Land Slide
74; Kota Semarang;1;3;;;71530;1180;;;;;;;;;;2021;103;Flood and Land Slide
1; Cilacap;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2021;104;Abration
5; Kebumen;1;0;0;0;0;0;0;0;0;0;0;0;0;0;40;2021;104;Abration
17; Rembang;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;Abration
20; Jepara;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;104;Abration
1; Cilacap;35;1;0;1;391;10;173;0;0;2;2;0;0;0;0;2021;105;Tornado
2; Banyumas;6;0;0;0;9;0;3;0;0;0;0;0;0;0;0;2021;105;Tornado
3; Purbalingga;2;;;;151;;37;;;;;;;;;2021;105;Tornado
5; Kebumen;1;;;;;;2;;;;;;;;;2021;105;Tornado
6; Purworejo;2;;;;11;;3;;;;;;;;;2021;105;Tornado
7; Wonosobo;9;0;0;1;0;0;2;0;0;0;0;0;0;0;0;2021;105;Tornado
8; Magelang;5;;;;145;;166;;;1;;;;;;2021;105;Tornado
9; Boyolali;15;0;0;1;0;0;18;0;0;0;0;0;0;3;0;2021;105;Tornado
10; Klaten;1;;;2;;;47;;;;;;;;;2021;105;Tornado
11; Sukoharjo;1;;;;;;;;;;;;;;;2021;105;Tornado
12; Wonogiri;3;;;;40;;20;;;;;;;;;2021;105;Tornado
14; Sragen;7;0;0;0;10;0;27;0;0;0;0;0;0;0;0;2021;105;Tornado
15; Grobogan;16;0;0;5;100;0;213;1;0;0;0;0;0;0;0;2021;105;Tornado
16; Blora;6;0;0;0;70;0;16;1;0;0;0;0;0;0;2;2021;105;Tornado
17; Rembang;3;0;0;0;0;0;16;0;0;0;0;0;0;0;0;2021;105;Tornado
18; Pati;2;0;0;0;0;0;51;0;0;0;0;0;0;0;0;2021;105;Tornado
19; Kudus;2;0;0;1;35;0;187;0;0;0;0;0;0;0;0;2021;105;Tornado
20; Jepara;11;0;0;3;70;0;23;0;0;0;1;1;0;0;1;2021;105;Tornado
21; Demak;4;;;3;681;45;528;;;7;;;;;9;2021;105;Tornado
24; Kendal;18;0;0;0;335;0;109;0;0;0;0;0;0;0;0;2021;105;Tornado
26; Pekalongan;1;;;;155;;31;;;;;;;;;2021;105;Tornado
27; Pemalang;4;4;0;4;0;0;12;0;0;0;0;0;0;0;0;2021;105;Tornado
28; Tegal;5;;;;520;5;127;1;;;;;;;2;2021;105;Tornado
29; Brebes;25;0;0;1;1;22;140;2;1;0;0;0;0;2;0;2021;105;Tornado
72; Kota Surakarta;2;;;;125;;18;;;;;;;;;2021;105;Tornado
74; Kota Semarang;27;0;0;0;193;0;48;0;0;0;0;0;0;0;0;2021;105;Tornado
1; Cilacap;1;;;;450;;;;;;;;;;;2021;106;Drought
9; Boyolali;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;Drought
16; Blora;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;Drought
20; Jepara;1;0;0;0;2843;0;0;0;0;0;0;0;0;0;0;2021;106;Drought
26; Pekalongan;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;106;Drought
16; Blora;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
17; Rembang;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
24; Kendal;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2021;107;Forest Fire
26; Pekalongan;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;107;Forest Fire
27; Pemalang;21;0;0;0;0;0;19;0;0;0;0;0;0;0;2;2021;107;Forest Fire
29; Brebes;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;2021;107;Forest Fire
24; Kendal;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;108;Earthquake
29; Brebes;1;0;0;0;0;0;13;0;0;0;0;0;0;0;0;2021;108;Earthquake
1; Cilacap;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
2; Banyumas;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
5; Kebumen;6;2;0;0;0;1845;8;0;0;0;0;0;0;0;0;2022;101;Flood
9; Boyolali;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
15; Grobogan;16;0;0;0;2;2;159;7;0;0;0;0;14;0;0;2022;101;Flood
17; Rembang;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
18; Pati;5;0;0;0;0;0;63;1;0;0;0;1;0;0;0;2022;101;Flood
20; Jepara;1;0;0;0;1300;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
21; Demak;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
24; Kendal;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
25; Batang;7;0;0;0;500;0;501;0;0;0;0;0;0;0;0;2022;101;Flood
26; Pekalongan;13;0;0;0;0;0;10;0;0;0;0;0;0;0;0;2022;101;Flood
72; Kota Surakarta;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
74; Kota Semarang;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;101;Flood
1; Cilacap;44;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2022;102;Land_Slide
2; Banyumas;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
5; Kebumen;92;0;0;0;0;75;330;8;0;9;125;0;6;9;2;2022;102;Land_Slide
6; Purworejo;2;0;0;6;1;0;3;0;0;0;0;0;0;0;0;2022;102;Land_Slide
7; Wonosobo;28;0;0;0;0;0;1;3;0;0;0;0;0;0;0;2022;102;Land_Slide
8; Magelang;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
9; Boyolali;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
15; Grobogan;9;0;0;0;0;0;8;0;0;0;0;0;4;0;0;2022;102;Land_Slide
17; Rembang;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
18; Pati;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2022;102;Land_Slide
20; Jepara;8;0;0;0;10;0;4;1;0;0;0;0;1;0;0;2022;102;Land_Slide
24; Kendal;13;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2022;102;Land_Slide
25; Batang;8;0;0;0;3;4;2;0;0;0;0;0;0;0;0;2022;102;Land_Slide
26; Pekalongan;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
27; Pemalang;4;0;0;0;0;0;5;0;0;0;0;0;1;0;0;2022;102;Land_Slide
29; Brebes;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
74; Kota Semarang;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;102;Land_Slide
1; Cilacap;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;103;Flood and Land Slide
8; Magelang;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;103;Flood and Land Slide
20; Jepara;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;2022;103;Flood and Land Slide
25; Batang;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;103;Flood and Land Slide
1; Cilacap;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;104;Abration
5; Kebumen;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;104;Abration
17; Rembang;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;104;Abration
1; Cilacap;54;0;0;0;0;0;14;0;0;0;0;0;0;0;0;2022;105;Tornado
2; Banyumas;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
5; Kebumen;69;0;0;0;0;0;158;3;0;5;28;0;1;1;1;2022;105;Tornado
7; Wonosobo;7;0;0;2;0;0;9;0;0;1;0;0;0;0;0;2022;105;Tornado
9; Boyolali;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2022;105;Tornado
14; Sragen;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
15; Grobogan;14;0;0;1;0;0;46;0;0;0;0;0;0;0;0;2022;105;Tornado
16; Blora;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
18; Pati;9;0;0;0;0;0;722;7;3;1;1;1;0;0;10;2022;105;Tornado
20; Jepara;4;0;0;2;0;10;43;0;0;1;0;0;0;0;0;2022;105;Tornado
21; Demak;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
24; Kendal;24;0;0;0;0;0;56;0;0;0;0;0;0;0;0;2022;105;Tornado
25; Batang;5;1;0;0;30;18;25;2;0;1;0;0;0;5;0;2022;105;Tornado
26; Pekalongan;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
27; Pemalang;1;0;0;0;3;3;1;0;0;0;0;0;0;0;0;2022;105;Tornado
29; Brebes;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
74; Kota Semarang;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;105;Tornado
9; Boyolali;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;106;Drought
15; Grobogan;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;106;Drought
24; Kendal;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;106;Drought
15; Grobogan;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
17; Rembang;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2022;107;Forest Fire
1; Kulon Progo;1;;;;;;19;;;;;;;;;2019;101;Flood
2; Bantul;2;2;;1;270;;2;5;;;;1;;;;2019;101;Flood
3; Gunung Kidul;2;;;;325;;;4;;1;;2;1;;103;2019;101;Flood
4; Sleman;1;;;;;;;;;;;;;;;2019;101;Flood
2; Bantul;2;3;;3;5;7446;6;;;;;;;;;2019;102;Land_Slide
3; Gunung Kidul;2;;;;5;96;4;;;;;;;;;2019;102;Land_Slide
4; Sleman;2;1;;;;;1;;;;;;;;;2019;102;Land_Slide
1; Kulon Progo;2;;;;8;394;5;;;;;;;;;2019;105;Tornado
2; Bantul;4;;;;26;;31;;;;;;;;1;2019;105;Tornado
3; Gunung Kidul;2;;;2;;;13;;;;;;;;;2019;105;Tornado
4; Sleman;6;;;16;26;;187;6;;4;;;;;2;2019;105;Tornado
71; Kota Yogyakarta;2;;;8;;;2;;;;;;;;;2019;105;Tornado
2; Bantul;1;;;;2549;;;;;;;;;;;2019;106;Drought
3; Gunung Kidul;1;;;;220429;;;;;;;;;;;2019;106;Drought
4; Sleman;1;;;;;;;;;;;;;;;2019;111;Volcano Eruption
1; Kulon Progo;1;;;;35;;;;;;;;;;;2020;101;Flood
2; Bantul;2;;;;2;;1;;;1;;1;;;;2020;101;Flood
4; Sleman;2;;;1;28;;;;;1;;;;;;2020;101;Flood
71; Kota Yogyakarta;1;;;;655;;;;;;;;;;;2020;101;Flood
1; Kulon Progo;4;;;;27;3;7;;;;;;;;;2020;102;Land_Slide
2; Bantul;4;;;;12;;6;;;;;;1;;;2020;102;Land_Slide
3; Gunung Kidul;1;;;;;;;;;;;;;;14;2020;104;Abration
1; Kulon Progo;3;;;;15;;5;1;;1;;1;;;;2020;105;Tornado
2; Bantul;9;1;;2;512;;194;;2;1;;;;;2;2020;105;Tornado
3; Gunung Kidul;1;;;;;;50;;;;;;;;;2020;105;Tornado
4; Sleman;7;;;2;74;;78;;;2;;;;;3;2020;105;Tornado
71; Kota Yogyakarta;3;;;;2;;6;;1;;;1;;;;2020;105;Tornado
4; Sleman;1;;;;;225;;;;;;;;;;2020;111;Volcano Eruption
3; Gunung Kidul;1;;;;335;;;;;;;;1;;;2021;101;Flood
2; Bantul;2;;;1;1000;;;;;;;;;;;2021;105;Tornado
2; Bantul;1;;;;;;3;;;;;;;;;2021;108;Earthquake
3; Gunung Kidul;1;;;;;;14;;;;;;;;;2021;108;Earthquake
2; Ponorogo;3;;;;;543;2;1;;1;;;1;;;2019;101;Flood
3; Trenggalek;2;;;;9058;;29;;;1;;;1;;;2019;101;Flood
4; Tulungagung;1;;;;;;;;;;;;;;;2019;101;Flood
5; Blitar;1;;;;1400;100;;;;;;;;;;2019;101;Flood
6; Kediri;2;;;;468;;;;;;;;;;;2019;101;Flood
8; Lumajang;4;;;;2024;;;;;;;;;;;2019;101;Flood
9; Jember;6;;;;8980;50;;1;;3;;;;;;2019;101;Flood
10; Banyuwangi;5;1;;;;;;;;;;;1;;;2019;101;Flood
12; Situbondo;1;;;;;;;;;;;;;;;2019;101;Flood
13; Probolinggo;1;;;;1610;;;;;;;;;;;2019;101;Flood
14; Pasuruan;6;;;;20550;;1;;;;;;;;;2019;101;Flood
15; Sidoarjo;2;;;;2490;;;;;;;;;;;2019;101;Flood
16; Mojokerto;12;;;;2118;;17;;1;;;;4;;3;2019;101;Flood
17; Jombang;5;;;;12299;;;;;;;;;;;2019;101;Flood
18; Nganjuk;5;;;;884;;7;;;;;;;;;2019;101;Flood
19; Madiun;3;;;;17328;;2;;;;;;2;;;2019;101;Flood
20; Magetan;1;;;;1694;103;;;;;;;;;;2019;101;Flood
21; Ngawi;1;;;;22450;;;;;;;;;;;2019;101;Flood
22; Bojonegoro;5;;;;18485;;1;16;;13;;;;;;2019;101;Flood
23; Tuban;2;;;;3240;;;5;;7;;3;3;;;2019;101;Flood
24; Lamongan;5;;;;3452;;;3;;;;;;;;2019;101;Flood
25; Gresik;17;2;;;1040;;;11;2;3;;3;;;6;2019;101;Flood
26; Bangkalan;2;;;;6315;;;;;;;;;;;2019;101;Flood
27; Sampang;1;;;1;;;;;;;;;;;;2019;101;Flood
28; Pamekasan;2;;;;;;36;;;;;;2;;;2019;101;Flood
77; Kota Madiun;1;;;;;;;;;;;;;;;2019;101;Flood
78; Kota Surabaya;1;1;;;;;;;;;;;;;;2019;101;Flood
79; Kota Batu;2;;;;;;2;;;;;;;;;2019;101;Flood
1; Pacitan;3;;;;;;3;;;;;;;;;2019;102;Land_Slide
2; Ponorogo;8;;;;4;10;5;;;;;;1;;;2019;102;Land_Slide
3; Trenggalek;8;;;;44;;11;1;;;;;2;;;2019;102;Land_Slide
5; Blitar;3;;;;;;5;;;;;;;;;2019;102;Land_Slide
7; Malang;1;;;;;;1;;;;;;;;;2019;102;Land_Slide
9; Jember;2;;;;;;4;;;1;;;;;;2019;102;Land_Slide
12; Situbondo;1;;;;;;1;;;;;;;;;2019;102;Land_Slide
13; Probolinggo;3;;;;10;;3;;;;;1;;;;2019;102;Land_Slide
16; Mojokerto;1;;;;25;;;;;;;;;;;2019;102;Land_Slide
20; Magetan;1;;;;;;1;;;;;;;;;2019;102;Land_Slide
22; Bojonegoro;1;;;;;;;;;;;;;;1;2019;102;Land_Slide
23; Tuban;2;;;;;;1;;;;;;;;;2019;102;Land_Slide
24; Lamongan;3;;;;81;10;11;1;;2;;;;;;2019;102;Land_Slide
28; Pamekasan;1;2;;1;;;;;;;;;;;;2019;102;Land_Slide
73; Kota Malang;5;;;;9;;8;;1;;;1;;;;2019;102;Land_Slide
79; Kota Batu;3;;;;;5;3;;;;;;;;;2019;102;Land_Slide
10; Banyuwangi;1;;;;115;;;;;;;;;;5;2019;104;Abration
1; Pacitan;2;;;1;;;31;;1;;;;;;1;2019;105;Tornado
2; Ponorogo;12;1;;;350;;107;;;;;;;;;2019;105;Tornado
3; Trenggalek;9;;;;;;55;;;;;;;;;2019;105;Tornado
4; Tulungagung;7;;;;390;;435;1;;1;;;;;;2019;105;Tornado
5; Blitar;7;;;;86;;21;;;;;;;;6;2019;105;Tornado
6; Kediri;8;;;1;;;186;;;;;;;;2;2019;105;Tornado
7; Malang;14;1;;5;685;;212;;2;1;;1;;;;2019;105;Tornado
8; Lumajang;7;;;;3;;32;1;;1;;;;;;2019;105;Tornado
9; Jember;28;1;;6;82;6;359;5;1;8;;;;;15;2019;105;Tornado
10; Banyuwangi;6;;;;265;;58;;;;;;;;;2019;105;Tornado
11; Bondowoso;4;;;1;10;;559;;;;;;;;;2019;105;Tornado
12; Situbondo;12;;;2;35;;154;;;;;;;;;2019;105;Tornado
13; Probolinggo;10;2;;2;225;;215;3;;;;1;;;1;2019;105;Tornado
14; Pasuruan;2;;;;;;1;;;;;;;;4;2019;105;Tornado
15; Sidoarjo;16;;;;12;;729;1;;;;;;;1;2019;105;Tornado
16; Mojokerto;11;;;2;50;;101;;;4;;1;;;13;2019;105;Tornado
17; Jombang;11;;;5;14;5;160;3;;13;;;;;;2019;105;Tornado
18; Nganjuk;15;;;3;230;;260;1;1;1;;;;;3;2019;105;Tornado
19; Madiun;8;;;1;;;159;;;;;;;;;2019;105;Tornado
20; Magetan;5;;;2;129;;154;3;1;;;1;;;;2019;105;Tornado
21; Ngawi;6;;;;;;17;1;;;;;;;1;2019;105;Tornado
22; Bojonegoro;13;;;3;355;;3247;;1;1;;1;;;;2019;105;Tornado
23; Tuban;8;2;;1;80;;67;2;;1;;1;;;2;2019;105;Tornado
24; Lamongan;8;;;;40;;104;4;1;;;1;;;3;2019;105;Tornado
25; Gresik;6;;;;;;115;4;;1;;;;;8;2019;105;Tornado
26; Bangkalan;2;1;;;;;25;;;;;;;;7;2019;105;Tornado
27; Sampang;1;;;;40;;5;;;;;;;;2;2019;105;Tornado
28; Pamekasan;6;;;;13;;30;;;3;;;;;;2019;105;Tornado
29; Sumenep;5;;;1;;;95;;;;;;;;;2019;105;Tornado
71; Kota Kediri;2;1;;2;;;4;1;;;;;;;4;2019;105;Tornado
73; Kota Malang;7;;;1;;;15;2;;;;1;;;1;2019;105;Tornado
77; Kota Madiun;2;;;;;;1;;;;;;1;;6;2019;105;Tornado
78; Kota Surabaya;1;;;;;;;1;;;;;;;;2019;105;Tornado
79; Kota Batu;6;1;;;5247;1357;595;4;;3;;1;;;;2019;105;Tornado
1; Pacitan;1;;;;11428;;;;;;;;;;;2019;106;Drought
2; Ponorogo;1;;;;7863;;;;;;;;;;;2019;106;Drought
3; Trenggalek;1;;;;14064;;;;;;;;;;;2019;106;Drought
4; Tulungagung;1;;;;;;;;;;;;;;;2019;106;Drought
5; Blitar;1;;;;625;;;;;;;;;;;2019;106;Drought
7; Malang;1;;;;;;;;;;;;;;;2019;106;Drought
8; Lumajang;1;;;;6937;;;;;;;;;;;2019;106;Drought
10; Banyuwangi;1;;;;7541;;;;;;;;;;;2019;106;Drought
11; Bondowoso;1;;;;11520;;;;;;;;;;;2019;106;Drought
12; Situbondo;1;;;;1358;;;;;;;;;;;2019;106;Drought
13; Probolinggo;1;;;;9196;;;;;;;;;;;2019;106;Drought
17; Jombang;1;;;;;;;;;;;;;;;2019;106;Drought
18; Nganjuk;1;;;;;;;;;;;;;;;2019;106;Drought
20; Magetan;1;;;;10445;;;;;;;;;;;2019;106;Drought
21; Ngawi;1;;;;70960;;;;;;;;;;;2019;106;Drought
22; Bojonegoro;1;;;;50089;;;;;;;;;;;2019;106;Drought
23; Tuban;1;;;;8623;;;;;;;;;;;2019;106;Drought
24; Lamongan;1;;;;9010;;;;;;;;;;;2019;106;Drought
25; Gresik;1;;;;;;;;;;;;;;;2019;106;Drought
26; Bangkalan;1;;;;30936;;;;;;;;;;;2019;106;Drought
27; Sampang;1;;;;34484;;;;;;;;;;;2019;106;Drought
28; Pamekasan;1;;;;76671;;;;;;;;;;;2019;106;Drought
29; Sumenep;1;;;;3118;;;;;;;;;;;2019;106;Drought
72; Kota Blitar;1;;;;28075;;;;;;;;;;;2019;106;Drought
