No;City;Total;Died;Lost ;Injured;Suffering;Evacuate;House;School;Medical_Facility;Religious_Place;Public_Facility;Office;Bridge;Factory;Store;Year;Type;Disaster
10; Bireuen;7;;;;141;;43;1;;1;;;;;3;2019;105;Tornado
11; Aceh Utara;6;;;;150;7;54;1;;;;;;;13;2019;105;Tornado
12; Aceh Barat Daya;1;;;;100;;21;;;;;;;;;2019;105;Tornado
13; Gayo Lues;4;;;;186;150;66;;;;;;;;;2019;105;Tornado
15; Nagan Raya;3;;;;6;;9;;;;;;;;;2019;105;Tornado
16; Aceh Jaya;2;;;;3;;2;;;;;;;;;2019;105;Tornado
17; Bener Meriah;8;;;8;155;;49;;;1;;;;;6;2019;105;Tornado
18; Pidie Jaya;3;;;;60;1;4;;;1;;;;;8;2019;105;Tornado
71; Kota Banda Aceh;1;;;;5;;1;;;;;;;;;2019;105;Tornado
72; Kota Sabang;1;;;;5;;1;;;;;;;;;2019;105;Tornado
73; Kota Langsa;1;;;;31;;6;;;;;;;;;2019;105;Tornado
75; Kota Subulussalam;1;;;;13;8;6;;;;;;;;;2019;105;Tornado
2; Aceh Singkil;1;;;;;;;;;;;;;;;2019;107;Forest Fire
3; Aceh Selatan;5;;;;;;;;;;;;;;;2019;107;Forest Fire
6; Aceh Tengah;1;;;;;;;;;;;;;;;2019;107;Forest Fire
7; Aceh Barat;9;;;;;;;;;;;;;;;2019;107;Forest Fire
8; Aceh Besar;9;;;;;;;;;;;;;;;2019;107;Forest Fire
12; Aceh Barat Daya;2;;;;;;;;;;;;;;;2019;107;Forest Fire
13; Gayo Lues;1;;;;;;;;;;;;;;;2019;107;Forest Fire
15; Nagan Raya;4;;;;;;;;;;;;;;;2019;107;Forest Fire
16; Aceh Jaya;7;;;;;;;;;;;;;;;2019;107;Forest Fire
17; Bener Meriah;1;;;;;;;;;;;;;;;2019;107;Forest Fire
72; Kota Sabang;1;;;;;;;;;;;;;;;2019;107;Forest Fire
73; Kota Langsa;1;;;;;;;;;;;;;;;2019;107;Forest Fire
74; Kota Lhokseumawe;1;;;;;;;;;;;;;;;2019;107;Forest Fire
1; Simeulue;2;;;;200;;;1;;;;;;;;2020;101;Flood
2; Aceh Singkil;6;;;;19742;50;;1;;1;;;1;;;2020;101;Flood
3; Aceh Selatan;11;;;;11032;32;14;;;;;;;;3;2020;101;Flood
4; Aceh Tenggara;8;;;;1310;130;50;;;;;;;;;2020;101;Flood
5; Aceh Timur;10;1;;;29436;2224;42;;;;;;4;;;2020;101;Flood
7; Aceh Barat;4;1;;;10938;;50;;;;;;;;18;2020;101;Flood
8; Aceh Besar;3;1;;;994;765;;;;;;;;;;2020;101;Flood
9; Pidie;2;;;;563;159;;;;;;;;;;2020;101;Flood
10; Bireuen;2;;;;1800;;;;;;;;;;;2020;101;Flood
